HCPCS,MOD,DESCRIPTION,CODE
A4570,,Splint,I
A4575,,Hyperbaric o2 chamber disps,N
A4580,,Cast supplies (plaster),I
A4590,,Special casting material,I
A4595,,TENS suppl 2 lead per month,X
A4600,,"Sleeve, inter limb comp dev",X
A4601,,"Lith ion batt, non-pros use",X
A4604,,Tubing with heating element,X
A4605,,Trach suction cath close sys,X
A4606,,Oxygen probe used w oximeter,X
A4608,,Transtracheal oxygen cath,X
A4611,,Heavy duty battery,X
A4612,,Battery cables,X
A4613,,Battery charger,X
A4614,,Hand-held PEFR meter,X
A4615,,Cannula nasal,X
A4616,,Tubing (oxygen) per foot,X
A4617,,Mouth piece,X
A4618,,Breathing circuits,X
A4619,,Face tent,X
A4620,,Variable concentration mask,X
A4623,,Tracheostomy inner cannula,X
A4624,,Tracheal suction tube,X
A4625,,Trach care kit for new trach,X
A4626,,Tracheostomy cleaning brush,X
A4627,,Spacer bag/reservoir,N
A4628,,Oropharyngeal suction cath,X
A4629,,Tracheostomy care kit,X
A4630,,Repl bat t.e.n.s. own by pt,X
A4633,,Uvl replacement bulb,X
A4634,,Replacement bulb th lightbox,X
A4635,,Underarm crutch pad,X
A4636,,Handgrip for cane etc,X
A4637,,Repl tip cane/crutch/walker,X
A4638,,Repl batt pulse gen sys,X
A4639,,Infrared ht sys replcmnt pad,X
A4640,,Alternating pressure pad,X
A4641,,Radiopharm dx agent noc,C
A4642,,In111 satumomab,C
A4648,,Implantable tissue marker,X
A4649,,Surgical supplies,P
A4650,,Implant radiation dosimeter,X
A4651,,Calibrated microcap tube,X
A4652,,Microcapillary tube sealant,X
A4653,,PD catheter anchor belt,X
A4657,,Syringe w/wo needle,X
A4660,,Sphyg/bp app w cuff and stet,X
A4663,,Dialysis blood pressure cuff,X
A4670,,"Automatic bp monitor, dial",N
A4671,,Disposable cycler set,X
A4672,,"Drainage ext line, dialysis",X
A4673,,Ext line w easy lock connect,X
A4674,,"Chem/antisept solution, 8oz",X
A4680,,"Activated carbon filter, ea",X
A4690,,"Dialyzer, each",X
A4706,,Bicarbonate conc sol per gal,X
A4707,,Bicarbonate conc pow per pac,X
A4708,,Acetate conc sol per gallon,X
A4709,,Acid conc sol per gallon,X
A4714,,Treated water per gallon,X
A4719,,"""Y set"" tubing",X
A4720,,Dialysat sol fld vol > 249cc,X
A4721,,Dialysat sol fld vol > 999cc,X
A4722,,Dialys sol fld vol > 1999cc,X
A4723,,Dialys sol fld vol > 2999cc,X
A4724,,Dialys sol fld vol > 3999cc,X
A4725,,Dialys sol fld vol > 4999cc,X
A4726,,Dialys sol fld vol > 5999cc,X
A4728,,"Dialysate solution, non-dex",X
A4730,,"Fistula cannulation set, ea",X
A4736,,"Topical anesthetic, per gram",X
A4737,,Inj anesthetic per 10 ml,X
A4740,,Shunt accessory,X
A4750,,Art or venous blood tubing,X
A4755,,Comb art/venous blood tubing,X
A4760,,"Dialysate sol test kit, each",X
A4765,,Dialysate conc pow per pack,X
A4766,,Dialysate conc sol add 10 ml,X
A4770,,Blood collection tube/vacuum,X
A4771,,Serum clotting time tube,X
A4772,,Blood glucose test strips,X
A4773,,Occult blood test strips,X
A4774,,Ammonia test strips,X
A4802,,Protamine sulfate per 50 mg,X
A4860,,Disposable catheter tips,X
A4870,,Plumb/elec wk hm hemo equip,X
A4890,,Repair/maint cont hemo equip,R
A4911,,Drain bag/bottle,X
A4913,,Misc dialysis supplies noc,X
A4918,,Venous pressure clamp,X
A4927,,Non-sterile gloves,X
A4928,,Surgical mask,X
A4929,,"Tourniquet for dialysis, ea",X
A4930,,"Sterile, gloves per pair",X
A4931,,Reusable oral thermometer,X
A4932,,Reusable rectal thermometer,X
A5051,,Pouch clsd w barr attached,P
A5052,,Clsd ostomy pouch w/o barr,P
A5053,,Clsd ostomy pouch faceplate,P
A5054,,Clsd ostomy pouch w/flange,P
A5055,,Stoma cap,P
A5056,,1 pc ost pouch w filter,X
A5057,,1 pc ost pou w built-in conv,X
A5061,,Pouch drainable w barrier at,P
A5062,,Drnble ostomy pouch w/o barr,P
A5063,,Drain ostomy pouch w/flange,P
A5071,,Urinary pouch w/barrier,P
A5072,,Urinary pouch w/o barrier,P
A5073,,Urinary pouch on barr w/flng,P
A5081,,Continent stoma plug,P
A5082,,Continent stoma catheter,P
A5083,,Stoma absorptive cover,X
A5093,,Ostomy accessory convex inse,P
A5102,,Bedside drain btl w/wo tube,P
A5105,,Urinary suspensory,P
A5112,,Urinary leg bag,P
A5113,,Latex leg strap,P
A5114,,Foam/fabric leg strap,P
A5120,,"Skin barrier, wipe or swab",X
A5121,,Solid skin barrier 6x6,P
A5122,,Solid skin barrier 8x8,P
A5126,,Disk/foam pad +or- adhesive,P
A5131,,Appliance cleaner,P
A5200,,Percutaneous catheter anchor,X
A5500,,Diab shoe for density insert,X
A5501,,Diabetic custom molded shoe,X
A5503,,Diabetic shoe w/roller/rockr,X
A5504,,Diabetic shoe with wedge,X
A5505,,Diab shoe w/metatarsal bar,X
A5506,,Diabetic shoe w/off set heel,X
A5507,,Modification diabetic shoe,X
A5508,,Diabetic deluxe shoe,X
A5510,,Compression form shoe insert,X
A5512,,Multi den insert direct form,X
A5513,,Multi den insert custom mold,X
A6000,,Wound warming wound cover,N
A6010,,Collagen based wound filler,X
A6011,,Collagen gel/paste wound fil,X
A6021,,Collagen dressing <=16 sq in,X
A6022,,Collagen drsg>16<=48 sq in,X
A6023,,Collagen dressing >48 sq in,X
A6024,,Collagen dsg wound filler,X
A6025,,"Silicone gel sheet, each",X
A6154,,Wound pouch each,P
A6196,,Alginate dressing <=16 sq in,P
A6197,,Alginate drsg >16 <=48 sq in,P
A6198,,alginate dressing > 48 sq in,P
A6199,,Alginate drsg wound filler,P
A6203,,Composite drsg <= 16 sq in,P
A6204,,Composite drsg >16<=48 sq in,P
A6205,,Composite drsg > 48 sq in,P
A6206,,Contact layer <= 16 sq in,P
A6207,,Contact layer >16<= 48 sq in,P
A6208,,Contact layer > 48 sq in,P
A6209,,Foam drsg <=16 sq in w/o bdr,P
A6210,,Foam drg >16<=48 sq in w/o b,P
A6211,,Foam drg > 48 sq in w/o brdr,P
A6212,,Foam drg <=16 sq in w/border,P
A6213,,Foam drg >16<=48 sq in w/bdr,P
A6214,,Foam drg > 48 sq in w/border,P
A6215,,Foam dressing wound filler,P
A6216,,Non-sterile gauze<=16 sq in,P
A6217,,Non-sterile gauze>16<=48 sq,P
A6218,,Non-sterile gauze > 48 sq in,P
A6219,,Gauze <= 16 sq in w/border,P
A6220,,Gauze >16 <=48 sq in w/bordr,P
A6221,,Gauze > 48 sq in w/border,P
A6222,,Gauze <=16 in no w/sal w/o b,P
A6223,,Gauze >16<=48 no w/sal w/o b,P
A6224,,Gauze > 48 in no w/sal w/o b,P
A6228,,Gauze <= 16 sq in water/sal,P
A6229,,Gauze >16<=48 sq in watr/sal,P
A6230,,Gauze > 48 sq in water/salne,P
A6231,,Hydrogel dsg<=16 sq in,X
A6232,,Hydrogel dsg>16<=48 sq in,X
A6233,,Hydrogel dressing >48 sq in,X
A6234,,Hydrocolld drg <=16 w/o bdr,P
A6235,,Hydrocolld drg >16<=48 w/o b,P
A6236,,Hydrocolld drg > 48 in w/o b,P
A6237,,Hydrocolld drg <=16 in w/bdr,P
A6238,,Hydrocolld drg >16<=48 w/bdr,P
A6239,,Hydrocolld drg > 48 in w/bdr,P
A6240,,Hydrocolld drg filler paste,P
A6241,,Hydrocolloid drg filler dry,P
A6242,,Hydrogel drg <=16 in w/o bdr,P
A6243,,Hydrogel drg >16<=48 w/o bdr,P
A6244,,Hydrogel drg >48 in w/o bdr,P
A6245,,Hydrogel drg <= 16 in w/bdr,P
A6246,,Hydrogel drg >16<=48 in w/b,P
A6247,,Hydrogel drg > 48 sq in w/b,P
A6248,,Hydrogel drsg gel filler,P
A6250,,Skin seal protect moisturizr,P
A6251,,Absorpt drg <=16 sq in w/o b,P
A6252,,Absorpt drg >16 <=48 w/o bdr,P
A6253,,Absorpt drg > 48 sq in w/o b,P
A6254,,Absorpt drg <=16 sq in w/bdr,P
A6255,,Absorpt drg >16<=48 in w/bdr,P
A6256,,Absorpt drg > 48 sq in w/bdr,P
A6257,,Transparent film <= 16 sq in,P
A6258,,Transparent film >16<=48 in,P
A6259,,Transparent film > 48 sq in,P
A6260,,Wound cleanser any type/size,P
A6261,,Wound filler gel/paste /oz,P
A6262,,Wound filler dry form / gram,P
A6266,,Impreg gauze no h20/sal/yard,P
A6402,,Sterile gauze <= 16 sq in,P
A6403,,Sterile gauze>16 <= 48 sq in,P
A6404,,Sterile gauze > 48 sq in,P
A6407,,"Packing strips, non-impreg",X
A6410,,Sterile eye pad,X
A6411,,Non-sterile eye pad,X
A6412,,Occlusive eye patch,X
A6413,,"Adhesive bandage, first-aid",N
A6441,,"Pad band w>=3"" <5""/yd",X
A6442,,"Conform band n/s w<3""/yd",X
A6443,,"Conform band n/s w>=3""<5""/yd",X
A6444,,"Conform band n/s w>=5""/yd",X
A6445,,"Conform band s w <3""/yd",X
A6446,,"Conform band s w>=3"" <5""/yd",X
A6447,,"Conform band s w >=5""/yd",X
A6448,,"Lt compres band <3""/yd",X
A6449,,"Lt compres band >=3"" <5""/yd",X
A6450,,"Lt compres band >=5""/yd",X
A6451,,"Mod compres band w>=3""<5""/yd",X
A6452,,"High compres band w>=3""<5""yd",X
A6453,,"Self-adher band w <3""/yd",X
A6454,,"Self-adher band w>=3"" <5""/yd",X
A6455,,"Self-adher band >=5""/yd",X
A6456,,"Zinc paste band w >=3""<5""/yd",X
A6457,,Tubular dressing,X
A6501,,Compres burngarment bodysuit,X
A6502,,Compres burngarment chinstrp,X
A6503,,Compres burngarment facehood,X
A6504,,Cmprsburngarment glove-wrist,X
A6505,,Cmprsburngarment glove-elbow,X
A6506,,Cmprsburngrmnt glove-axilla,X
A6507,,Cmprs burngarment foot-knee,X
A6508,,Cmprs burngarment foot-thigh,X
A6509,,Compres burn garment jacket,X
A6510,,Compres burn garment leotard,X
A6511,,Compres burn garment panty,X
A6512,,"Compres burn garment, noc",X
A6513,,Compress burn mask face/neck,X
A6530,,Compression stocking BK18-30,N
A6531,,Compression stocking BK30-40,X
A6532,,Compression stocking BK40-50,X
A6533,,Gc stocking thighlngth 18-30,N
A6534,,Gc stocking thighlngth 30-40,N
A6535,,Gc stocking thighlngth 40-50,N
A6536,,Gc stocking full lngth 18-30,N
A6537,,Gc stocking full lngth 30-40,N
A6538,,Gc stocking full lngth 40-50,N
A6539,,Gc stocking waistlngth 18-30,N
A6540,,Gc stocking waistlngth 30-40,N
A6541,,Gc stocking waistlngth 40-50,N
A6544,,Gc stocking garter belt,N
A6545,,Grad comp non-elastic BK,X
A6549,,G compression stocking,N
A6550,,Neg pres wound ther drsg set,X
A7000,,Disposable canister for pump,X
A7001,,Nondisposable pump canister,X
A7002,,Tubing used w suction pump,X
A7003,,Nebulizer administration set,X
A7004,,Disposable nebulizer sml vol,X
A7005,,Nondisposable nebulizer set,X
A7006,,Filtered nebulizer admin set,X
A7007,,Lg vol nebulizer disposable,X
A7008,,Disposable nebulizer prefill,X
A7009,,Nebulizer reservoir bottle,X
A7010,,Disposable corrugated tubing,X
A7011,,Nondispos corrugated tubing,X
A7012,,Nebulizer water collec devic,X
A7013,,Disposable compressor filter,X
A7014,,Compressor nondispos filter,X
A7015,,Aerosol mask used w nebulize,X
A7016,,Nebulizer dome & mouthpiece,X
A7017,,Nebulizer not used w oxygen,X
A7018,,Water distilled w/nebulizer,X
A7020,,"Interface, cough stim device",X
A7025,,Replace chest compress vest,X
A7026,,Replace chst cmprss sys hose,X
A7027,,Combination oral/nasal mask,X
A7028,,Repl oral cushion combo mask,X
A7029,,Repl nasal pillow comb mask,X
A7030,,CPAP full face mask,X
A7031,,Replacement facemask interfa,X
A7032,,Replacement nasal cushion,X
A7033,,Replacement nasal pillows,X
A7034,,Nasal application device,X
A7035,,Pos airway press headgear,X
A7036,,Pos airway press chinstrap,X
A7037,,Pos airway pressure tubing,X
A7038,,Pos airway pressure filter,X
A7039,,"Filter, non disposable w pap",X
A7040,,One way chest drain valve,X
A7041,,Water seal drain container,X
A7042,,Implanted pleural catheter,X
A7043,,Vacuum drainagebottle/tubing,X
A7044,,PAP oral interface,X
A7045,,Repl exhalation port for PAP,X
A7046,,"Repl water chamber, PAP dev",X
A7501,,Tracheostoma valve w diaphra,X
A7502,,Replacement diaphragm/fplate,X
A7503,,HMES filter holder or cap,X
A7504,,Tracheostoma HMES filter,X
A7505,,HMES or trach valve housing,X
A7506,,HMES/trachvalve adhesivedisk,X
A7507,,Integrated filter & holder,X
A7508,,Housing & Integrated Adhesiv,X
A7509,,Heat & moisture exchange sys,X
A7520,,Trach/laryn tube non-cuffed,X
A7521,,Trach/laryn tube cuffed,X
A7522,,Trach/laryn tube stainless,X
A7523,,Tracheostomy shower protect,X
A7524,,Tracheostoma stent/stud/bttn,X
A7525,,Tracheostomy mask,X
A7526,,Tracheostomy tube collar,X
A7527,,Trach/laryn tube plug/stop,X
A8000,,Soft protect helmet prefab,X
A8001,,Hard protect helmet prefab,X
A8002,,Soft protect helmet custom,X
A8003,,Hard protect helmet custom,X
A8004,,"Repl soft interface, helmet",X
A9150,,Misc/exper non-prescript dru,E
A9152,,Single vitamin nos,I
A9153,,Multi-vitamin nos,I
A9155,,Artificial saliva,X
A9180,,"Lice treatment, topical",I
A9270,,Non-covered item or service,N
A9272,,Disposable mech wound suct,I
A9273,,Hot/cold h2obot/cap/col/wrap,N
A9274,,Ext amb insulin delivery sys,I
A9275,,Disp home glucose monitor,N
A9276,,"Disposable sensor, CGM sys",N
A9277,,"External transmitter, CGM",N
A9278,,"External receiver, CGM sys",N
A9279,,Monitoring feature/deviceNOC,I
A9280,,"Alert device, noc",N
A9281,,Reaching/grabbing device,N
A9282,,Wig any type,N
A9283,,Foot press off load supp dev,N
A9284,,Non-electronic spirometer,X
A9300,,Exercise equipment,N
A9500,,Tc99m sestamibi,C
A9501,,Technetium TC-99m teboroxime,C
A9502,,Tc99m tetrofosmin,C
A9503,,Tc99m medronate,C
A9504,,Tc99m apcitide,C
A9505,,TL201 thallium,C
A9507,,In111 capromab,C
A9508,,"I131 iodobenguate, dx",C
A9509,,Iodine I-123 sod iodide mil,C
A9510,,Tc99m disofenin,C
A9512,,Tc99m pertechnetate,C
A9516,,Iodine I-123 sod iodide mic,C
A9517,,"I131 iodide cap, rx",C
A9521,,Tc99m exametazime,C
A9524,,"I131 serum albumin, dx",C
A9526,,Nitrogen N-13 ammonia,C
A9527,,Iodine I-125 sodium iodide,C
A9528,,"Iodine I-131 iodide cap, dx",C
A9529,,"I131 iodide sol, dx",C
A9530,,"I131 iodide sol, rx",C
A9531,,I131 max 100uCi,C
A9532,,"I125 serum albumin, dx",C
A9536,,Tc99m depreotide,C
A9537,,Tc99m mebrofenin,C
A9538,,Tc99m pyrophosphate,C
A9539,,Tc99m pentetate,C
A9540,,Tc99m MAA,C
A9541,,Tc99m sulfur colloid,C
A9542,,"In111 ibritumomab, dx",C
A9543,,"Y90 ibritumomab, rx",C
A9544,,"I131 tositumomab, dx",C
A9545,,"I131 tositumomab, rx",C
A9546,,Co57/58,C
A9547,,In111 oxyquinoline,C
A9548,,In111 pentetate,C
A9550,,Tc99m gluceptate,C
A9551,,Tc99m succimer,C
A9552,,F18 fdg,C
A9553,,Cr51 chromate,C
A9554,,"I125 iothalamate, dx",C
A9555,,Rb82 rubidium,C
A9556,,Ga67 gallium,C
A9557,,Tc99m bicisate,C
A9558,,Xe133 xenon 10mci,C
A9559,,Co57 cyano,C
A9560,,Tc99m labeled rbc,C
A9561,,Tc99m oxidronate,C
A9562,,Tc99m mertiatide,C
A9563,,P32 Na phosphate,C
A9564,,P32 chromic phosphate,C
A9566,,Tc99m fanolesomab,C
A9567,,Technetium TC-99m aerosol,C
A9568,,Technetium tc99m arcitumomab,C
A9569,,Technetium TC-99m auto WBC,C
A9570,,Indium In-111 auto WBC,C
A9571,,Indium IN-111 auto platelet,C
A9572,,Indium In-111 pentetreotide,C
A9576,,Inj prohance multipack,X
A9577,,Inj multihance,X
A9578,,Inj multihance multipack,X
A9579,,"Gad-base MR contrast NOS,1ml",X
A9580,,Sodium fluoride F-18,C
A9581,,Gadoxetate disodium inj,X
A9582,,Iodine I-123 iobenguane,X
A9583,,Gadofosveset trisodium inj,X
A9584,,Iodine I-123 ioflupane,X
A9585,,Gadobutrol injection,X
A9600,,Sr89 strontium,C
A9604,,Sm 153 lexidronam,X
A9698,,Non-rad contrast materialNOC,X
A9699,,Radiopharm rx agent noc,C
A9700,,Echocardiography Contrast,E
A9900,,Supply/accessory/service,X
A9901,,Delivery/set up/dispensing,X
A9999,,"DME supply or accessory, nos",X
D0120,,Periodic oral evaluation,N
D0140,,Limit oral eval problm focus,N
D0145,,"Oral evaluation, pt < 3yrs",N
D0150,,Comprehensve oral evaluation,R
D0160,,Extensv oral eval prob focus,N
D0170,,"Re-eval,est pt,problem focus",N
D0180,,Comp periodontal evaluation,N
D0210,,Intraor complete film series,I
D0220,,Intraoral periapical first f,I
D0230,,Intraoral periapical ea add,I
D0240,,Intraoral occlusal film,R
D0250,,Extraoral first film,R
D0260,,Extraoral ea additional film,R
D0270,,Dental bitewing single film,R
D0272,,Dental bitewings two films,R
D0273,,Bitewings - three films,N
D0274,,Dental bitewings four films,R
D0277,,Vert bitewings-sev to eight,R
D0290,,Dental film skull/facial bon,I
D0310,,Dental saliography,I
D0320,,Dental tmj arthrogram incl i,I
D0321,,Dental other tmj films,I
D0322,,Dental tomographic survey,I
D0330,,Dental panoramic film,I
D0340,,Dental cephalometric film,I
D0350,,Oral/facial photo images,I
D0360,,Cone beam ct,N
D0362,,"Cone beam, two dimensional",N
D0363,,"Cone beam, three dimensional",N
D0415,,Collection of microorganisms,N
D0416,,Viral culture,R
D0417,,Collect & prep saliva sample,N
D0418,,Analysis of saliva sample,N
D0421,,Gen tst suscept oral disease,R
D0425,,Caries susceptibility test,N
D0431,,Diag tst detect mucos abnorm,R
D0460,,Pulp vitality test,R
D0470,,Diagnostic casts,N
D0472,,"Gross exam, prep & report",R
D0473,,"Micro exam, prep & report",R
D0474,,Micro w exam of surg margins,R
D0475,,Decalcification procedure,R
D0476,,Spec stains for microorganis,R
D0477,,Spec stains not for microorg,R
D0478,,Immunohistochemical stains,R
D0479,,Tissue in-situ hybridization,R
D0480,,Cytopath smear prep & report,R
D0481,,Electron microscopy diagnost,R
D0482,,Direct immunofluorescence,R
D0483,,Indirect immunofluorescence,R
D0484,,Consult slides prep elsewher,R
D0485,,Consult inc prep of slides,R
D0486,,Access of transep cytol samp,N
D0502,,Other oral pathology procedu,R
D0999,,Unspecified diagnostic proce,R
D1110,,Dental prophylaxis adult,N
D1120,,Dental prophylaxis child,N
D1203,,Topical app fluoride child,N
D1204,,Topical app fluoride adult,N
D1206,,Topical fluoride varnish,N
D1310,,Nutri counsel-control caries,N
D1320,,Tobacco counseling,N
D1330,,Oral hygiene instruction,N
D1351,,Dental sealant per tooth,N
D1352,,"Prev resin rest, perm tooth",I
D1510,,Space maintainer fxd unilat,R
D1515,,Fixed bilat space maintainer,R
D1520,,Remove unilat space maintain,R
D1525,,Remove bilat space maintain,R
D1550,,Recement space maintainer,R
D1555,,Remove fix space maintainer,N
D2140,,Amalgam one surface permanen,N
D2150,,Amalgam two surfaces permane,N
D2160,,Amalgam three surfaces perma,N
